team,ladder_points,points_for,points_against,points_diff,season,round,ladder_position
Rabbitohs,2,42,10,32,2016,1,1
Bulldogs,2,28,6,22,2016,1,2
Titans,2,30,12,18,2016,1,3
Broncos,2,17,4,13,2016,1,4
Raiders,2,30,22,8,2016,1,5
Wests Tigers,2,34,26,8,2016,1,6
Cowboys,2,20,14,6,2016,1,7
Storm,2,18,16,2,2016,1,8
Dragons,0,16,18,-2,2016,1,9
Sharks,0,14,20,-6,2016,1,10
Warriors,0,26,34,-8,2016,1,11
Panthers,0,22,30,-8,2016,1,12
Eels,0,4,17,-13,2016,1,13
Knights,0,12,30,-18,2016,1,14
Sea Eagles,0,6,28,-22,2016,1,15
Roosters,0,10,42,-32,2016,1,16
Rabbitohs,4,90,16,74,2016,2,1
Broncos,4,42,14,28,2016,2,2
Bulldogs,4,46,22,24,2016,2,3
Wests Tigers,4,70,48,22,2016,2,4
Storm,4,52,32,20,2016,2,5
Raiders,4,51,42,9,2016,2,6
Sharks,2,44,22,22,2016,2,7
Cowboys,2,36,34,2,2016,2,8
Titans,2,46,46,0,2016,2,9
Eels,2,24,33,-9,2016,2,10
Panthers,0,38,48,-10,2016,2,11
Warriors,0,36,59,-23,2016,2,12
Dragons,0,18,48,-30,2016,2,13
Roosters,0,30,63,-33,2016,2,14
Sea Eagles,0,28,64,-36,2016,2,15
Knights,0,18,78,-60,2016,2,16
Storm,6,73,46,27,2016,3,1
Raiders,5,75,66,9,2016,3,2
Rabbitohs,4,96,24,72,2016,3,3
Cowboys,4,76,34,42,2016,3,4
Broncos,4,64,37,27,2016,3,5
Titans,4,76,64,12,2016,3,6
Bulldogs,4,52,42,10,2016,3,7
Wests Tigers,4,88,78,10,2016,3,8
Eels,4,44,39,5,2016,3,9
Sharks,2,56,44,12,2016,3,10
Panthers,2,61,70,-9,2016,3,11
Sea Eagles,2,50,76,-26,2016,3,12
Dragons,2,26,54,-28,2016,3,13
Knights,1,42,102,-60,2016,3,14
Warriors,0,50,80,-30,2016,3,15
Roosters,0,30,103,-73,2016,3,16
Bulldogs,6,94,54,40,2016,4,1
Broncos,6,85,57,28,2016,4,2
Storm,6,79,60,19,2016,4,3
Titans,6,100,84,16,2016,4,4
Eels,6,52,39,13,2016,4,5
Raiders,5,95,90,5,2016,4,6
Rabbitohs,4,108,66,42,2016,4,7
Cowboys,4,96,55,41,2016,4,8
Sharks,4,70,50,20,2016,4,9
Wests Tigers,4,88,86,2,2016,4,10
Sea Eagles,4,72,96,-24,2016,4,11
Dragons,4,40,66,-26,2016,4,12
Warriors,2,90,98,-8,2016,4,13
Panthers,2,73,84,-11,2016,4,14
Knights,1,60,142,-82,2016,4,15
Roosters,0,50,125,-75,2016,4,16
Broncos,8,109,73,36,2016,5,1
Storm,8,97,74,23,2016,5,2
Raiders,7,117,98,19,2016,5,3
Cowboys,6,132,55,77,2016,5,4
Rabbitohs,6,124,78,46,2016,5,5
Sharks,6,104,76,28,2016,5,6
Bulldogs,6,102,76,26,2016,5,7
Eels,6,70,59,11,2016,5,8
Titans,6,116,108,8,2016,5,9
Warriors,4,122,126,-4,2016,5,10
Wests Tigers,4,114,120,-6,2016,5,11
Panthers,4,93,102,-9,2016,5,12
Sea Eagles,4,84,112,-28,2016,5,13
Dragons,4,40,102,-62,2016,5,14
Knights,1,74,160,-86,2016,5,15
Roosters,0,78,157,-79,2016,5,16
Broncos,10,135,73,62,2016,6,1
Cowboys,8,155,73,82,2016,6,2
Eels,8,106,65,41,2016,6,3
Sharks,8,129,96,33,2016,6,4
