player_id,firstname,surname
30035,Corey,Parker
30191,Jamie,Lyon
30525,Paul,Gallen
30545,Luke,Lewis
30597,Nathan,Friend
30617,Greg,Bird
30665,Cameron,Smith
30698,Johnathan,Thurston
30770,David,Shillington
30777,Chris,Heighington
30779,Billy,Slater
30781,Ryan,Hoffman
30785,Ian,Henderson
30804,Thomas,Leuluai
30805,Frank,Pritchard
30822,Dene,Halatau
30823,Robbie,Farah
30833,Sam,Thaiday
30834,Matt,Ballin
30835,Ben,Hannant
30837,Jacob,Lillyman
30842,Ben,Creagh
30849,Sonny Bill,Williams
30853,Michael,Ennis
30855,Brett,Stewart
30862,Benji,Marshall
30884,Karmichael,Hunt
30892,Jeff,Robson
30899,Anthony,Tupou
30910,Jeff,Lima
30914,Cooper,Cronk
30927,Manu,Vatuvei
30931,Feleti,Mateo
30941,Sam,Perrett
30944,John,Sutton
30946,Matthew,Scott
30967,Mitchell,Aubusson
30973,Adam,Blair
30978,Mitch,Brown
30979,Tim,Browne
30985,Will,Chambers
30994,Isaac,De Gois
30997,Luke,Douglas
31011,Michael,Gordon
31015,Tim,Grant
31016,Blake,Green
31021,Aidan,Guerra
31025,Jarryd,Hayne
31031,Albert,Hopoate
31036,Greg,Inglis
31039,Michael,Jennings
31049,Shaun,Kenny-Dowall
31053,Rory,Kostjasyn
31063,Sione,Lousi
31065,Issac,Luke
31067,Simon,Mannering
31071,Steve,Matai
31073,Ben,Matulino
31076,Josh,McCrone
31087,Brett,Morris
31088,Josh,Morris
31090,Jarrod,Mullen
31091,Nate,Myles
31096,Dane,Nielson
31097,Jason,Nightingale
31098,Frank-Paul,Nu'uausala
31102,Russell,Packer
31104,Mickey,Paea
31108,Junior,Paulo
31111,Mitchell,Pearce
31113,Eddy,Pettybourne
31118,Matt,Prior
31119,Kevin,Proctor
31135,Beau,Scott
31145,Kade,Snowden
31146,Iosia,Soliola
31148,Jamie,Soward
31149,Chase,Stanley
31151,Sam,Tagataese
31152,Zeb,Taia
31157,Elijah,Taylor
31160,Luke,Thompson
31164,Aiden,Tolman
31172,Jared,Waerea-Hargreaves
31177,Dean,Whare
31179,Matt,White
31180,Danny,Wicks
31186,William,Zillman
31187,Jeremy,Smith
31188,Darius,Boyd
31190,Greg,Eastwood
31197,David,Taylor
31198,Peter,Wallace
31199,Leeson,Ah Mau
31205,Reece,Robinson
31217,Scott,Bolton
31220,Ben,Te'o
31221,Chris,Lawrence
31227,Gavin,Cooper
31235,Bryson,Goodwin
31244,Joseph,Paulo
31245,Akuila,Uate
31246,Joel,Thompson
31249,Sam,Moa
31254,Anthony,Cherrington
31255,Andrew,McCullough
31256,Sam,McKendry
31259,Jayson,Bukuya
31262,Josh,Hoffman
31264,Frank,Winterstein
31266,Tony,Williams
31274,Wade,Graham
31277,Will,Matthews
31279,Jake,Friend
31282,Lachlan,Coote
31284,Jordan,Rapana
31287,Ben,Barba
31289,Jordan,Rankin
31292,Jamal,Idris
31300,James,Graham
31418,David,Mead
31422,Chris,McQueen
31423,Alex,Glenn
31426,Blake,Ayshford
31428,Jeremy,Latimore
31430,Josh,McGuire
31432,James,Maloney
31433,Trent,Hodkinson
31435,Ben,Hunt
31436,Gerard,Beale
31437,Tim,Mannah
31439,Antonio,Winterstein
31442,Blake,Ferguson
31444,James,Tamou
31448,Jarrod,Croker
31450,Travis,Waddell
31451,Trent,Merrin
31452,Lewis,Brown
31453,Josh,Dugan
31455,Matthew,Wright
31456,Shaun,Fensom
31460,Bodene,Thompson
31463,Daniel,Mortimer
31466,Tom,Symonds
31468,Dale,Copley
31469,Jonathan,Wright
31475,Kieran,Foran
31476,Sandor,Earl
31477,Dave,Tyrrell
31479,Daniel,Vidot
31482,Luke,Kelly
31492,Jason,Clark
31494,David,Gower
31496,Ray,Thompson
31499,Sam,Burgess
31504,Ryan,Hall
31526,Kurt,Baptiste
31530,Matt,Gillett
31532,Dunamis,Lui
31533,Corey,Norman
31535,Tariq,Sims
31546,Sam,Mataora
31553,Will,Hopoate
31554,Darcy,Lussick
31555,Daly,Cherry-Evans
31556,Jesse,Bromwich
31561,Justin,O'Neill
31563,Gareth,Widdop
31565,Joel,Edwards
31568,Kevin,Naiqama
31574,Andrew,Fifita
31575,David,Fifita
31581,Aaron,Woods
31586,Cheyse,Blair
31587,Boyd,Cordner
31590,Joey,Leilua
31591,Kane,Linnett
31593,Brad,Takairangi
31596,Jake,Marketo
31602,Albert,Kelly
31606,Siosaia,Vave
31612,Jamie,Buhrer
31613,Martin,Taupau
31618,Michael,Morgan
31619,Kalifa,Faifai Loa
31621,Ryan,James
31622,Robbie,Rochow
31625,Mitchell,Allgood
31629,Michael,Oldfield
31634,Cameron,King
