result,match_id,date,round,season_stage,away_result,home_result,away_team,home_team,goals_per_kick_away,goals_per_kick_home,m_per_run_away,m_per_run_home,tb_per_run_away,tb_per_run_home,lb_per_run_away,lb_per_run_home,offs_per_run_away,offs_per_run_home,ta_per_touch_away,ta_per_touch_home,lba_per_touch_away,lba_per_touch_home,kick_per_touch_away,kick_per_touch_home,pass_per_touch_away,pass_per_touch_home,km_per_kick_away,km_per_kick_home,tries_per_game_away,tries_per_game_home,err_per_touch_away,err_per_touch_home,points_per_game_away,points_per_game_home,tackles_time_away,tackles_time_home,saves_per_game_away,saves_per_game_home,miss_per_t_away,miss_per_t_home,pen_per_t_away,pen_per_t_home,ineff_per_t_away,ineff_per_t_home,score_away,score_home,completion_rate_percentage_away,completion_rate_percentage_home,possession_percentage_away,possession_percentage_home,time_in_own_half_away,time_in_own_half_home,time_in_opp_half_away,time_in_opp_half_home,time_in_own20_away,time_in_own20_home,time_in_opp20_away,time_in_opp20_home,set_restarts_away,set_restarts_home,goal_line_dropouts_away,goal_line_dropouts_home,days_rest_away,days_rest_home,ladder_points_away,ladder_points_home,ladder_points_for_away,ladder_points_for_home,ladder_points_against_away,ladder_points_against_home,ladder_points_diff_away,ladder_points_diff_home,ladder_position_away,ladder_position_home,elo_away,elo_home,shortelo_away,shortelo_home,longelo_away,longelo_home,goals_per_kick_diff,m_per_run_diff,tb_per_run_diff,lb_per_run_diff,offs_per_run_diff,ta_per_touch_diff,lba_per_touch_diff,kick_per_touch_diff,pass_per_touch_diff,km_per_kick_diff,tries_per_game_diff,err_per_touch_diff,points_per_game_diff,tackles_time_diff,saves_per_game_diff,miss_per_t_diff,pen_per_t_diff,ineff_per_t_diff,score_diff,completion_rate_percentage_diff,possession_percentage_diff,time_in_own_half_diff,time_in_opp_half_diff,time_in_own20_diff,time_in_opp20_diff,set_restarts_diff,goal_line_dropouts_diff,days_rest_diff,ladder_points_diff,ladder_points_for_diff,ladder_points_against_diff,ladder_points_diff_diff,ladder_position_diff,elo_diff,shortelo_diff,longelo_diff,prhome,shortprhome,longprhome
A,98670101,2016-03-03T09:05:01Z,1,Early,16,4,Broncos,Eels,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1500,1500,1500,1500,1500,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5
A,98670102,2016-03-04T09:05:02Z,1,Early,28,6,Bulldogs,Eagles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1500,1500,1500,1500,1500,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5
H,98670103,2016-03-05T04:00:03Z,1,Early,22,30,Panthers,Raiders,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1500,1500,1500,1500,1500,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5
H,98670104,2016-03-05T06:30:04Z,1,Early,26,34,Warriors,Tigers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1500,1500,1500,1500,1500,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5
H,98670105,2016-03-05T08:30:05Z,1,Early,14,20,Sharks,Cowboys,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1500,1500,1500,1500,1500,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5
A,98670106,2016-03-06T05:00:06Z,1,Early,42,10,Rabbitohs,Roosters,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1500,1500,1500,1500,1500,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5
H,98670107,2016-03-06T07:30:07Z,1,Early,12,30,Knights,Titans,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1500,1500,1500,1500,1500,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5
H,98670108,2016-03-07T08:00:08Z,1,Early,16,18,Dragons,Storm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1500,1500,1500,1500,1500,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5
A,98670201,2016-03-10T09:05:01Z,2,Early,18,16,Bulldogs,Panthers,0.047619047619047616,0.07142857142857142,9.212244964030678,9.828502846359989,0.09530575244860959,0.10358252858252859,0.02673160173160173,0.01774891774891775,0.030506530506530505,0.09747375640232783,0.00824622531939605,0.009523809523809523,0.004123112659698025,0.009523809523809523,0.043271942923510866,0.024686293436293437,0.31998296504342827,0.26200167003738434,6.975,5.902777777777778,0.35714285714285715,0.21428571428571427,0.011804721888755502,0.05422948458662744,2,1.5714285714285714,25.666666666666668,25.05952380952381,0,0,0.03360435083124159,0.09519241556615726,0.030332375374392182,0.05313317634746206,0.033717799474101993,0.09050018750436399,28,22,85,66,54,52,1513,1446,1320,1388,826,924,1141,1061,0,0,4,1,5.999988425925926,5.211782407407408,2,0,28,22,6,30,22,-8,2,12,1511.5,1488.5,1505,1495,1520,1480,0.023809523809523808,0.616257882329311,0.008276776133919,-0.008982683982683981,0.06696722589579733,0.0012775842044134723,0.005400696864111498,-0.01858564948721743,-0.05798129500604393,-1.072222222222222,-0.14285714285714288,0.04242476269787194,-0.4285714285714286,-0.6071428571428577,0,0.061588064734915675,0.02280080097306988,0.056782388030262,-6,-19,-2,-67,68,98,-80,0,-3,-0.788206018518518,-2,-6,24,-30,10,-23,-10,-40,0.46694860611555894,0.48561281583400134,0.44268836623770724
H,98670202,2016-03-11T09:05:02Z,2,Early,10,24,Warriors,Broncos,0.0375,0.078125,11.48988736957487,8.604204759056733,0.10811939796314797,0.06655043147641831,0.04236111111111111,0.025213068181818184,0.028683035714285716,0.044533386021872866,0.00811531007751938,0.008680555555555556,0.012495044926004228,0.013060897435897436,0.027358644982191493,0.042624710440131,0.3668128489673295,0.29779736129835566,8.2375,8.80625,0.3125,0.1875,0.025446825952387127,0.03200772326064382,1.625,1,29.260416666666668,27.354166666666668,0.0625,0,0.1447795029045029,0.08576260716837342,0.04526682467858938,0.041163114988558354,0.05302452177452177,0.12628057329144285,26,16,75,69,47,55,1657,1471,1194,1625,1055,642,921,1065,0,0,1,0,6.107615740740741,8.000011574074074,0,2,26,17,34,4,-8,13,11,4,1488.5,1511.5,1495,1505,1480,1520,0.040625,-2.8856826105181366,-0.041568966486729655,-0.01714804292929293,0.01585035030758715,5.652454780361756e-4,5.658525098932079e-4,0.015266065457939505,-0.06901548766897386,0.5687499999999996,-0.125,0.006560897308256694,-0.625,-1.90625,-0.0625,-0.05901689573612948,-0.004103709690031029,0.07325605151692108,-10,-6,8,-186,431,-413,144,0,-1,1.8923958333333335,2,-9,-30,21,-7,23,10,40,0.5330513938844411,0.5143871841659987,0.5573116337622928
