competition_id,match_id,round,team_name,team_location,utc_start,score,completion_rate_percentage,possession_percentage,time_in_own_half,time_in_opp_half,time_in_own20,time_in_opp20,set_restarts,goal_line_dropouts,season,days_rest,season_stage,ladder_points,ladder_points_for,ladder_points_against,ladder_points_diff,ladder_position,elo,shortelo,longelo,result
9867,98670101,1,Broncos,away,2016-03-03T09:05:01Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,NA,Early,NA,NA,NA,NA,NA,1500,1500,1500,16
9867,98670101,1,Eels,home,2016-03-03T09:05:01Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,NA,Early,NA,NA,NA,NA,NA,1500,1500,1500,4
9867,98670102,1,Bulldogs,away,2016-03-04T09:05:02Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,NA,Early,NA,NA,NA,NA,NA,1500,1500,1500,28
9867,98670102,1,Eagles,home,2016-03-04T09:05:02Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,NA,Early,NA,NA,NA,NA,NA,1500,1500,1500,6
9867,98670103,1,Raiders,home,2016-03-05T04:00:03Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,NA,Early,NA,NA,NA,NA,NA,1500,1500,1500,30
9867,98670103,1,Panthers,away,2016-03-05T04:00:03Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,NA,Early,NA,NA,NA,NA,NA,1500,1500,1500,22
9867,98670104,1,Warriors,away,2016-03-05T06:30:04Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,NA,Early,NA,NA,NA,NA,NA,1500,1500,1500,26
9867,98670104,1,Tigers,home,2016-03-05T06:30:04Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,NA,Early,NA,NA,NA,NA,NA,1500,1500,1500,34
9867,98670105,1,Sharks,away,2016-03-05T08:30:05Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,NA,Early,NA,NA,NA,NA,NA,1500,1500,1500,14
9867,98670105,1,Cowboys,home,2016-03-05T08:30:05Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,NA,Early,NA,NA,NA,NA,NA,1500,1500,1500,20
9867,98670106,1,Rabbitohs,away,2016-03-06T05:00:06Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,NA,Early,NA,NA,NA,NA,NA,1500,1500,1500,42
9867,98670106,1,Roosters,home,2016-03-06T05:00:06Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,NA,Early,NA,NA,NA,NA,NA,1500,1500,1500,10
9867,98670107,1,Titans,home,2016-03-06T07:30:07Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,NA,Early,NA,NA,NA,NA,NA,1500,1500,1500,30
9867,98670107,1,Knights,away,2016-03-06T07:30:07Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,NA,Early,NA,NA,NA,NA,NA,1500,1500,1500,12
9867,98670108,1,Storm,home,2016-03-07T08:00:08Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,NA,Early,NA,NA,NA,NA,NA,1500,1500,1500,18
9867,98670108,1,Dragons,away,2016-03-07T08:00:08Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,NA,Early,NA,NA,NA,NA,NA,1500,1500,1500,16
9867,98670201,2,Bulldogs,away,2016-03-10T09:05:01Z,28,85,54,1513,1320,826,1141,0,4,2016,5.999988425925926,Early,2,28,6,22,2,1511.5,1502.5,1520,18
9867,98670201,2,Panthers,home,2016-03-10T09:05:01Z,22,66,52,1446,1388,924,1061,0,1,2016,5.211782407407408,Early,0,22,30,-8,12,1488.5,1497.5,1480,16
9867,98670202,2,Broncos,home,2016-03-11T09:05:02Z,16,69,55,1471,1625,642,1065,0,0,2016,8.000011574074074,Early,2,17,4,13,4,1511.5,1502.5,1520,24
9867,98670202,2,Warriors,away,2016-03-11T09:05:02Z,26,75,47,1657,1194,1055,921,0,1,2016,6.107615740740741,Early,0,26,34,-8,11,1488.5,1497.5,1480,10
9867,98670203,2,Raiders,home,2016-03-12T04:00:03Z,30,81,48,1388,1446,1061,924,0,1,2016,7,Early,2,30,22,8,5,1511.5,1502.5,1520,20
9867,98670203,2,Roosters,away,2016-03-12T04:00:03Z,10,83,46,1426,1502,1132,758,0,3,2016,5.958298611111111,Early,0,10,42,-32,16,1488.5,1497.5,1480,20
9867,98670204,2,Knights,away,2016-03-12T06:30:04Z,12,70,45,1770,1335,1146,571,0,1,2016,5.958298611111111,Early,0,12,30,-18,14,1488.5,1497.5,1480,6
9867,98670204,2,Rabbitohs,home,2016-03-12T06:30:04Z,42,90,54,1502,1426,758,1132,0,1,2016,6.0624768518518515,Early,2,42,10,32,1,1511.5,1502.5,1520,48
9867,98670205,2,Cowboys,away,2016-03-12T08:30:05Z,20,77,55,1566,1453,814,980,0,2,2016,7,Early,2,20,14,6,7,1511.5,1502.5,1520,16
9867,98670205,2,Eels,home,2016-03-12T08:30:05Z,4,60,45,1625,1471,1065,642,0,2,2016,8.97574074074074,Early,0,4,17,-13,13,1488.5,1497.5,1480,20
9867,98670206,2,Sharks,home,2016-03-13T05:00:06Z,14,68,45,1453,1566,980,814,0,2,2016,7.85417824074074,Early,0,14,20,-6,10,1488.5,1497.5,1480,30
9867,98670206,2,Dragons,away,2016-03-13T05:00:06Z,16,75,53,1537,1373,1022,873,0,2,2016,5.8749768518518515,Early,0,16,18,-2,9,1488.5,1497.5,1480,2
9867,98670207,2,Titans,away,2016-03-13T07:30:07Z,30,74,55,1335,1770,571,1146,0,0,2016,7,Early,2,30,12,18,3,1511.5,1502.5,1520,16
9867,98670207,2,Storm,home,2016-03-13T07:30:07Z,18,79,47,1373,1537,873,1022,0,4,2016,5.979155092592593,Early,2,18,16,2,8,1511.5,1502.5,1520,34
9867,98670208,2,Eagles,away,2016-03-14T08:00:08Z,6,72,46,1320,1513,1141,826,0,0,2016,9.954930555555556,Early,NA,NA,NA,NA,NA,1488.5,1497.5,1480,22
9867,98670208,2,Tigers,home,2016-03-14T08:00:08Z,34,67,53,1194,1657,921,1055,0,0,2016,9.062546296296297,Early,NA,NA,NA,NA,NA,1511.5,1502.5,1520,36
9867,98670301,3,Cowboys,home,2016-03-17T09:05:01Z,19.759999999999998,76.16,54.519999999999996,1556.52,1451.32,830.86,973.52,0,1.88,2016,5.024259259259259,Early,2,36,34,2,8,1499.2398179406578,1499.9640245914547,1497.7075346495083,40
9867,98670301,3,Roosters,away,2016-03-17T09:05:01Z,10.6,82.58,46.48,1436.9199999999998,1495.94,1107.7,776.36,0,2.94,2016,5.211782407407408,Early,0,30,63,-33,14,1489.2601820593422,1497.5359754085453,1482.2924653504917,0
9867,98670302,3,Bulldogs,home,2016-03-18T09:05:02Z,27.400000000000002,84.03999999999999,53.64,1515.94,1329.18,832.54,1124.5,0,4,2016,8.000011574074074,Early,4,46,22,24,3,1522.2398179406578,1504.9640245914547,1537.7075346495083,6
9867,98670302,3,Eels,away,2016-03-18T09:05:02Z,4.960000000000001,60.96,45.48,1613,1467.22,1053.42,669.1800000000001,0,2,2016,6.0242708333333335,Early,2,24,33,-9,10,1500.7601820593422,1500.0359754085453,1502.2924653504917,20
9867,98670303,3,Raiders,away,2016-03-19T06:30:03Z,29.4,80.10000000000001,47.88,1388.7800000000002,1455.72,1061.18,912.18,0,1.1800000000000002,2016,7.104166666666667,Early,4,51,42,9,6,1510.7398179406578,1502.4640245914547,1517.7075346495083,24
9867,98670303,3,Knights,home,2016-03-19T06:30:03Z,11.64,69.58,45.12,1758.66,1342.32,1146.6000000000001,574.6600000000001,0,1.06,2016,6.999988425925926,Early,0,18,78,-60,16,1477.7601820593422,1495.0359754085453,1462.2924653504917,24
9867,98670304,3,Broncos,away,2016-03-19T08:30:04Z,16.48,69.48,54.879999999999995,1461.8200000000002,1619.42,652.5600000000001,1069.02,0,0,2016,7.975717592592592,Early,4,42,14,28,2,1522.2398179406578,1504.9640245914547,1537.7075346495083,22
9867,98670304,3,Panthers,home,2016-03-19T08:30:04Z,21.64,66.60000000000001,52,1447.6200000000001,1398.44,920.52,1053.44,0,1.06,2016,8.975729166666667,Early,0,38,48,-10,11,1477.7601820593422,1495.0359754085453,1462.2924653504917,22
9867,98670305,3,Titans,home,2016-03-19T10:30:05Z,29.16,74.12,54.82,1352.76,1748.28,596.5000000000001,1124.76,0,0.1200000000000001,2016,6.1249768518518515,Early,2,46,46,0,9,1500,1500,1500,30
9867,98670305,3,Tigers,away,2016-03-19T10:30:05Z,34.12,67.78,53.120000000000005,1217.52,1644.16,915.4799999999999,1050.2,0,0.1200000000000001,2016,5.104131944444444,Early,NA,NA,NA,NA,NA,1522.2398179406578,1504.9640245914547,1537.7075346495083,18
9867,98670306,3,Storm,away,2016-03-20T03:00:06Z,18.96,78.82,47.06,1375.1,1542.64,868.1400000000001,1020.44,0,3.88,2016,6.812488425925926,Early,4,52,32,20,5,1523,1505,1540,20
9867,98670306,3,Warriors,home,2016-03-20T03:00:06Z,25.04,75.66000000000001,47,1649.5,1201.44,1059.62,914.8199999999999,0,1.06,2016,8.746574074074074,Early,0,36,59,-23,12,1477.7601820593422,1495.0359754085453,1462.2924653504917,14
9867,98670307,3,Rabbitohs,away,2016-03-20T05:00:07Z,42.36,89.28,53.94,1499.3,1435.3,750.44,1133.44,0,1.12,2016,7.937534722222222,Early,4,90,16,74,1,1522.2398179406578,1504.9640245914547,1537.7075346495083,6
9867,98670307,3,Dragons,home,2016-03-20T05:00:07Z,15.16,73.68,52.22,1528.8400000000001,1368.1399999999999,1037.18,871.86,0,2.06,2016,7.000011574074074,Early,0,18,48,-30,13,1477,1495,1460,8
9867,98670308,3,Sharks,away,2016-03-21T08:00:08Z,14.96,68.48,45.9,1443.34,1556.1000000000001,972.4399999999999,841.6600000000001,0,2,2016,8.125023148148149,Early,2,44,22,22,7,1500,1500,1500,12
9867,98670308,3,Eagles,home,2016-03-21T08:00:08Z,6.960000000000001,72.24,45.94,1327.38,1517.38,1131.04,826.18,0,0.06000000000000005,2016,7,Early,NA,NA,NA,NA,NA,1477.7601820593422,1495.0359754085453,1462.2924653504917,22
9867,98670401,4,Bulldogs,away,2016-03-25T05:00:01Z,26.116,83.6776,53.4216,1525.7836000000002,1326.5292000000002,853.5076,1096.21,0,3.82,2016,6.829849537037037,Early,4,52,42,10,7,1510.0297537024928,1502.4285668049818,1515.6759108998863,42
9867,98670401,4,Rabbitohs,home,2016-03-25T05:00:01Z,40.178399999999996,88.36319999999999,53.4036,1506.962,1434.742,764.9936,1112.1136000000001,0,1.2928000000000002,2016,4.999930555555555,Early,4,96,24,72,3,1509.2508011550444,1502.3923473209377,1513.3074555792377,12
9867,98670402,4,Broncos,home,2016-03-25T09:05:02Z,16.8112,69.9912,54.7072,1475.0908000000002,1599.4148,668.0664000000002,1061.8788,0,0,2016,6.024282407407408,Early,4,64,37,27,5,1520.7755480575765,1504.8926059727862,1533.4332138921964,20
9867,98670402,4,Cowboys,away,2016-03-25T09:05:02Z,20.9744,76.21039999999999,54.7888,1537.7688,1472.5408,807.6483999999999,998.3288,0,1.7671999999999999,2016,8.000011574074074,Early,4,76,34,42,4,1510.4095861933085,1502.446553657582,1516.820753739156,20
9867,98670403,4,Raiders,home,2016-03-26T06:30:03Z,29.075999999999997,80.394,47.8872,1412.9132000000002,1457.2368000000001,1071.1292,915.7092,0,1.3492000000000004,2016,7,Early,5,75,66,9,2,1509.6514700302073,1502.4105836232654,1514.5443645247783,20
9867,98670403,4,Titans,away,2016-03-26T06:30:03Z,29.2104,73.6928,54.7708,1369.4544,1739.9832000000001,595.6300000000001,1118.2944,0,0.17280000000000015,2016,6.833310185185185,Early,4,76,64,12,6,1512.2351266536011,1502.5357165978921,1522.1621375799175,24
