commence_time,home_team,away_team,home_team_odds,away_team_odds,bookmaker,ev_bet,match_id
2026-05-15T00:00:00Z,Sharks,Bulldogs,1.48,2.67,sportsbet,Bulldogs,129991101
2026-05-15T00:00:00Z,Rabbitohs,Dolphins,2.05,1.77,tab,Rabbitohs,129991102
2026-05-16T00:00:00Z,Roosters,Cowboys,1.19,4.75,betright,Cowboys,129991104
2026-05-16T00:00:00Z,Tigers,Eagles,3.7,1.28,tab,Tigers,129991103
2026-05-16T00:00:00Z,Eels,Storm,3.14,1.37,sportsbet,Eels,129991105
2026-05-17T00:00:00Z,Warriors,Broncos,1.68,2.32,betfair_ex_au,Broncos,129991107
2026-05-17T00:00:00Z,Panthers,Dragons,1.06,14.5,betfair_ex_au,Dragons,129991108
2026-05-17T00:00:00Z,Titans,Knights,3.65,1.04,betfair_ex_au,Titans,129991106
2026-05-21T00:00:00Z,Raiders,Dolphins,1.9,1.9,tab,Dolphins,129991201
2026-05-22T00:00:00Z,Bulldogs,Storm,1.67,2.2,tab,Storm,129991202
2026-05-23T00:00:00Z,Eagles,Titans,1.24,4.1,sportsbet,Titans,129991204
2026-05-23T00:00:00Z,Dragons,Warriors,5,1.18,neds,Dragons,129991203
2026-05-24T00:00:00Z,Cowboys,Rabbitohs,1.6,2.35,betr_au,Rabbitohs,129991205
2026-05-29T00:00:00Z,Sharks,Eagles,1.9,1.9,betr_au,Sharks,129991301
2026-05-30T00:00:00Z,Knights,Eels,1.22,4.35,sportsbet,Eels,129991302
2026-05-30T00:00:00Z,Tigers,Bulldogs,1.56,2.44,sportsbet,Bulldogs,129991303
2026-05-30T00:00:00Z,Storm,Roosters,2.1,1.75,betr_au,Storm,129991304
2026-05-31T00:00:00Z,Broncos,Dragons,1.14,7.2,betfair_ex_au,Dragons,129991305
2026-05-31T00:00:00Z,Raiders,Cowboys,1.62,2.3,tab,Cowboys,129991306
2026-05-31T00:00:00Z,Panthers,Warriors,1.55,2.4,pointsbetau,Warriors,129991307
