"","player_id","firstname","surname"
"1",30035,"Corey","Parker"
"2",30191,"Jamie","Lyon"
"3",30525,"Paul","Gallen"
"4",30545,"Luke","Lewis"
"5",30597,"Nathan","Friend"
"6",30617,"Greg","Bird"
"7",30665,"Cameron","Smith"
"8",30698,"Johnathan","Thurston"
"9",30770,"David","Shillington"
"10",30777,"Chris","Heighington"
"11",30779,"Billy","Slater"
"12",30781,"Ryan","Hoffman"
"13",30785,"Ian","Henderson"
"14",30804,"Thomas","Leuluai"
"15",30805,"Frank","Pritchard"
"16",30822,"Dene","Halatau"
"17",30823,"Robbie","Farah"
"18",30833,"Sam","Thaiday"
"19",30834,"Matt","Ballin"
"20",30835,"Ben","Hannant"
"21",30837,"Jacob","Lillyman"
"22",30842,"Ben","Creagh"
"23",30849,"Sonny Bill","Williams"
"24",30853,"Michael","Ennis"
"25",30855,"Brett","Stewart"
"26",30862,"Benji","Marshall"
"27",30884,"Karmichael","Hunt"
"28",30892,"Jeff","Robson"
"29",30899,"Anthony","Tupou"
"30",30910,"Jeff","Lima"
"31",30914,"Cooper","Cronk"
"32",30927,"Manu","Vatuvei"
"33",30931,"Feleti","Mateo"
"34",30941,"Sam","Perrett"
"35",30944,"John","Sutton"
"36",30946,"Matthew","Scott"
"37",30967,"Mitchell","Aubusson"
"38",30973,"Adam","Blair"
"39",30978,"Mitch","Brown"
"40",30979,"Tim","Browne"
"41",30985,"Will","Chambers"
"42",30994,"Isaac","De Gois"
"43",30997,"Luke","Douglas"
"44",31011,"Michael","Gordon"
"45",31015,"Tim","Grant"
"46",31016,"Blake","Green"
"47",31021,"Aidan","Guerra"
"48",31025,"Jarryd","Hayne"
"49",31031,"Albert","Hopoate"
"50",31036,"Greg","Inglis"
"51",31039,"Michael","Jennings"
"52",31049,"Shaun","Kenny-Dowall"
"53",31053,"Rory","Kostjasyn"
"54",31063,"Sione","Lousi"
"55",31065,"Issac","Luke"
"56",31067,"Simon","Mannering"
"57",31071,"Steve","Matai"
"58",31073,"Ben","Matulino"
"59",31076,"Josh","McCrone"
"60",31087,"Brett","Morris"
"61",31088,"Josh","Morris"
"62",31090,"Jarrod","Mullen"
"63",31091,"Nate","Myles"
"64",31096,"Dane","Nielson"
"65",31097,"Jason","Nightingale"
"66",31098,"Frank-Paul","Nu'uausala"
"67",31102,"Russell","Packer"
"68",31104,"Mickey","Paea"
"69",31108,"Junior","Paulo"
"70",31111,"Mitchell","Pearce"
"71",31113,"Eddy","Pettybourne"
"72",31118,"Matt","Prior"
"73",31119,"Kevin","Proctor"
"74",31135,"Beau","Scott"
"75",31145,"Kade","Snowden"
"76",31146,"Iosia","Soliola"
"77",31148,"Jamie","Soward"
"78",31149,"Chase","Stanley"
"79",31151,"Sam","Tagataese"
"80",31152,"Zeb","Taia"
"81",31157,"Elijah","Taylor"
"82",31160,"Luke","Thompson"
"83",31164,"Aiden","Tolman"
"84",31172,"Jared","Waerea-Hargreaves"
"85",31177,"Dean","Whare"
"86",31179,"Matt","White"
"87",31180,"Danny","Wicks"
"88",31186,"William","Zillman"
"89",31187,"Jeremy","Smith"
"90",31188,"Darius","Boyd"
"91",31190,"Greg","Eastwood"
